Gene ID,Locus Tag,Gene Product Name,Genome ID,Genome Name,Batch1,DNA Sequence Length (bp),Amino Acid Sequence Length (aa),Scaffold ID,Scaffold External Accession,Scaffold Name,Scaffold Length (bp),Scaffold GC %,Scaffold Read Depth,COG,KO,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Specific Ecosystem,Habitat,Nitrate Concentration,Oxygen Concentration,pH,Salinity
3300014496 assembled Ga0182011_100623273,Ga0182011_100623273,methyl-coenzyme M reductase alpha subunit,3300014496,"Permafrost microbial communities from Stordalen Mire, Sweden - 711E1D metaG (*) (MER-FS) (assembled)",1,1428,476,Ga0182011_10062327,,Ga0182011_10062327,2627,0.56,9,"COG4058===Methyl coenzyme M reductase, alpha subunit===857.7",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Wetlands,Soil,Permafrost,Fen,,,,
3300017929 assembled Ga0187849_1000017140,Ga0187849_1000017140,methyl-coenzyme M reductase alpha subunit,3300017929,"Peatland microbial communities from SPRUCE experiment site at the Marcell Experimental Forest, Minnesota, USA - June2016WEW_4_100 (*) (MER-FS) (assembled)",1,1668,555,Ga0187849_1000017,,Ga0187849_1000017,206604,0.51,13,"COG4058===Methyl coenzyme M reductase, alpha subunit===967",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Wetlands,Soil,Peat,Peatland,,,,
3300027896 assembled Ga0209777_100283604,Ga0209777_100283604,methyl-coenzyme M reductase alpha subunit,3300027896,"Freshwater lake sediment microbial communities from the University of Notre Dame, USA, for methane emissions studies -HBP12 HB (SPAdes) (version 2) (*) (MER-FS) (assembled)",1,1680,559,Ga0209777_10028360,,Ga0209777_10028360,5369,0.52,24,"COG4058===Methyl coenzyme M reductase, alpha subunit===958.5",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Lake,Freshwater,Sediment,Freshwater lake sediment,,,,
3300009648 assembled Ga0116175_10014869,Ga0116175_10014869,methyl-coenzyme M reductase alpha subunit,3300009648,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from USA - AD_UKC125_MetaG (*) (MER-FS) (assembled),1,1716,572,Ga0116175_1001486,,Ga0116175_1001486,15023,0.43,8,"COG4058===Methyl coenzyme M reductase, alpha subunit===1067.2",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,
3300023714 assembled Ga0257073_10026045,Ga0257073_10026045,methyl-coenzyme M reductase alpha subunit,3300023714,"Goat fecal pellet enrichment culture fungal communities from Isla Vista, California, USA - Xylan, Gen0, Rep 1 Spades (v2) (version 2) (*) (MER-FS) (assembled)",1,1656,551,Ga0257073_1002604,,Ga0257073_1002604,5334,0.39,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===1039.4",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Host-associated,Mammals,Large intestine,Digestive system,Fecal,Goat feces,,,,
3300025476 assembled Ga0208495_10015885,Ga0208495_10015885,methyl-coenzyme M reductase alpha subunit,3300025476,"Freshwater microbial communities from Crystal Bog, Wisconsin, USA - MA14M (SPAdes) (*) (MER-FS) (assembled)",1,1290,429,Ga0208495_1001588,,Ga0208495_1001588,6000,0.55,34,"COG4058===Methyl coenzyme M reductase, alpha subunit===799.6",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Lake,Freshwater,Unclassified,Freshwater,,,,
3300022401 assembled Ga0216348_100010030,Ga0216348_100010030,methyl-coenzyme M reductase alpha subunit,3300022401,"Goat fecal pellet enrichment culture fungal communities from Isla Vista, California, USA - Reed Canary Grass, Gen0, Rep 3, Penicillin and Streptomycin (v2) (version 2) (*) (MER-FS) (assembled)",1,1635,544,Ga0216348_1000100,,Ga0216348_1000100,66684,0.6,27,"COG4058===Methyl coenzyme M reductase, alpha subunit===893.4",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Host-associated,Mammals,Large intestine,Digestive system,Fecal,Goat feces,,,,
3300015266 assembled Ga0183122_1022094,Ga0183122_1022094,methyl-coenzyme M reductase alpha subunit,3300015266,"Sludge microbial communities from oil sands tailing ponds in Alberta, Canada - bioreactor enrichment (*) (MER-FS) (assembled)",1,1680,560,Ga0183122_102209,,Ga0183122_102209,5947,0.55,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===962.4",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioremediation,Benzene,Hydrocarbon,Bioreactor,sludge,,,,
3300033985 assembled Ga0310135_002445_3532_5268,Ga0310135_58960,methyl-coenzyme M reductase alpha subunit,3300033985,"Fracking water microbial communities from deep shales in Oklahoma, United States - M1-7-3 (*) (MER-FS) (assembled)",1,1737,578,Ga0310135_002445,,Ga0310135_002445,7815,0.52,10,"COG4058===Methyl coenzyme M reductase, alpha subunit===1017.1",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,"Shale gas/oil reservoir, Shale gas reservoir",Deep subsurface,Produced water/Flow back,fracking water,,,,
3300029252 assembled Ga0167179_10012529,Ga0167179_10012529,methyl-coenzyme M reductase alpha subunit,3300029252,Biosolids microbial communities from sewage treatment plant in Sweden - SWESTP26 - Henriksdal-digested 138 (*) (MER-FS) (assembled),1,1662,553,Ga0167179_1001252,,Ga0167179_1001252,11341,0.37,11,"COG4058===Methyl coenzyme M reductase, alpha subunit===940.6",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Wastewater,Unclassified,Industrial wastewater,Unclassified,biosolids,,,,
3300009710 assembled Ga0116192_10111715,Ga0116192_10111715,methyl-coenzyme M reductase alpha subunit,3300009710,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Hong Kong - AD_UKC113_MetaG (*) (MER-FS) (assembled),1,1704,568,Ga0116192_1011171,,Ga0116192_1011171,4388,0.53,26,"COG4058===Methyl coenzyme M reductase, alpha subunit===976.9",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,
3300029823 assembled Ga0134844_100082112,Ga0134844_100082112,methyl-coenzyme M reductase alpha subunit,3300029823,"Liquor fermentation pit mud microbial communities from Luzhou, China - Meta-4-2-220-M (*) (MER-FS) (assembled)",1,1656,551,Ga0134844_100082,,Ga0134844_100082,116454,0.39,135,"COG4058===Methyl coenzyme M reductase, alpha subunit===1088.9",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Unclassified,Unclassified,Unclassified,Fermentation pit mud,,,,
3300009135 assembled Ga0118736_100099221,Ga0118736_100099221,methyl-coenzyme M reductase alpha subunit,3300009135,"Marine sediment microbial communities from methane seeps within Hudson Canyon, US Atlantic Margin - Hudson Canyon PC-16 382 cmbsf (*) (MER-FS) (assembled)",1,1854,618,Ga0118736_10009922,,Ga0118736_10009922,2103,0.48,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===748.5",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Cold seeps,Marine,Sediment,Marine sediment,,,,
3300008340 assembled Ga0115359_100009032,Ga0115359_100009032,methyl-coenzyme M reductase alpha subunit,3300008340,Sea floor sediment microbial communities from Gulf of Mexico Methane Seep - MPC10B (*) (MER-FS) (assembled),1,1692,564,Ga0115359_10000903,,Ga0115359_10000903,4185,0.48,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===687",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Cold seeps,Marine,Sediment,sediment,,,,
3300026163 assembled Ga0265427_100116623,Ga0265427_100116623,methyl-coenzyme M reductase alpha subunit,3300026163,"Activated sludge microbial communities from lab. scaled anaerobic digester in Belvaux, Luxembourg - ACS2-55 (*) (MER-FS) (assembled)",1,1656,551,Ga0265427_1001166,,Ga0265427_1001166,33812,0.39,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===1060.8",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,activated sludge,,,,
3300009656 assembled Ga0123329_100050633,Ga0123329_100050633,methyl-coenzyme M reductase alpha subunit,3300009656,"Anaerobic biogas reactor microbial communites from Washington, USA - Biogas_R1_B C12 SIP DNA (*) (MER-FS) (assembled)",1,1683,561,Ga0123329_1000506,,Ga0123329_1000506,40851,0.7,58,"COG4058===Methyl coenzyme M reductase, alpha subunit===974.7",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,Anaerobic biogas reactor,,,,
3300038313 assembled Ga0134846_000018_225229_226935,null,methyl-coenzyme M reductase alpha subunit,3300038313,"Liquor fermentation pit mud microbial communities from Luzhou, China - Meta-5-1-140-B (*) (MER-FS) (assembled)",1,1707,568,Ga0134846_000018,,Ga0134846_000018,238590,0.61,88,"COG4058===Methyl coenzyme M reductase, alpha subunit===991.1",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Unclassified,Unclassified,Unclassified,Fermentation pit mud,,,,
3300018085 assembled Ga0187772_100414852,Ga0187772_100414852,methyl-coenzyme M reductase alpha subunit,3300018085,"Tropical peat soil microbial communities from peatlands in Department of Meta, Colombia - 0116_SJ02_MP15_20_MG (*) (MER-FS) (assembled)",1,1680,559,Ga0187772_10041485,,Ga0187772_10041485,2791,0.57,7,"COG4058===Methyl coenzyme M reductase, alpha subunit===993.1",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Wetlands,Soil,Peat,Tropical peatland,,,,
3300025859 assembled Ga0209096_10966271,Ga0209096_10966271,methyl-coenzyme M reductase alpha subunit,3300025859,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from USA - AD_UKC034_MetaG (SPAdes) (version 2) (*) (MER-FS) (assembled),1,1221,407,Ga0209096_1096627,,Ga0209096_1096627,1223,0.59,19,"COG4058===Methyl coenzyme M reductase, alpha subunit===763.1",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,
3300009360 assembled Ga0118672_100102316,Ga0118672_100102316,methyl-coenzyme M reductase alpha subunit,3300009360,"Syntrophic microbial communities from biogas reactors in Seattle, WA - R1.C12.But.B IBDA (*) (MER-FS) (assembled)",1,1659,553,Ga0118672_1001023,,Ga0118672_1001023,18144,0.45,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===1079.6",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Wastewater,Unclassified,Anaerobic digestor,Unclassified,anaerobic wastewater sludge,,,,
3300028564 assembled Ga0255344_10807301,Ga0255344_10807301,methyl-coenzyme M reductase alpha subunit,3300028564,"Wastewater microbial communities from Lulu Island WWTP, Vancouver, Canada - plant18 (*) (MER-FS) (assembled)",1,1542,514,Ga0255344_1080730,,Ga0255344_1080730,1543,0.52,21,"COG4058===Methyl coenzyme M reductase, alpha subunit===894.1",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,WWTP,Unclassified,Wastewater,Unclassified,wastewater,,,,
3300037551 assembled Ga0310745_0003424_3_1601,null,methyl-coenzyme M reductase alpha subunit,3300037551,"Peat soil microbial communities from Stordalen Mire, Sweden - 717 E2 20-24 (v2) (version 2) (*) (MER-FS) (assembled)",1,1599,533,Ga0310745_0003424,,Ga0310745_0003424,6036,0.54,19,"COG4058===Methyl coenzyme M reductase, alpha subunit===955.5",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Wetlands,Soil,Peat,soil,,,,
3300009566 assembled Ga0130025_116227954,Ga0130025_116227954,methyl-coenzyme M reductase alpha subunit,3300009566,"Methanogenic o-xylene degrading microbial communities from aquifer solids in Pensacola, Florida - enrichment culture X8-AB (*) (MER-FS) (assembled)",1,1680,560,Ga0130025_1162279,,Ga0130025_1162279,75358,0.52,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===946.2",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Aquifer,Deep subsurface,Unclassified,aquifer solids,,,,
3300025858 assembled Ga0209099_10019517,Ga0209099_10019517,methyl-coenzyme M reductase alpha subunit,3300025858,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Japan - AD_JPNHW2_MetaG (SPAdes) (version 2) (*) (MER-FS) (assembled),1,1704,567,Ga0209099_1001951,,Ga0209099_1001951,19195,0.55,12,"COG4058===Methyl coenzyme M reductase, alpha subunit===993.5",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,
3300031566 assembled Ga0307378_102466561,Ga0307378_102466561,methyl-coenzyme M reductase alpha subunit,3300031566,"Soil microbial communities from Risofladan, Vaasa, Finland - UN-1 (*) (MER-FS) (assembled)",1,1656,551,Ga0307378_10246656,,Ga0307378_10246656,1721,0.58,10,"COG4058===Methyl coenzyme M reductase, alpha subunit===958.6",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Coastal area,Soil,Acid sulfate soil,soil,,,,
3300009664 assembled Ga0116146_10316271,Ga0116146_10316271,methyl-coenzyme M reductase alpha subunit,3300009664,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Japan - AD_JPNHG2_MetaG (*) (MER-FS) (assembled),1,1746,582,Ga0116146_1031627,,Ga0116146_1031627,2677,0.58,24,"COG4058===Methyl coenzyme M reductase, alpha subunit===998.3",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,
3300026161 assembled Ga0265425_10001097,Ga0265425_10001097,methyl-coenzyme M reductase alpha subunit,3300026161,"Activated sludge microbial communities from lab. scaled anaerobic digester in Belvaux, Luxembourg - ACS0-59 (*) (MER-FS) (assembled)",1,1704,567,Ga0265425_1000109,,Ga0265425_1000109,10484,0.55,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===989.6",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,activated sludge,,,,
3300038949 assembled Ga0246689_004055_3957_5264,null,methyl-coenzyme M reductase alpha subunit,3300038949,"Activated sludge microbial communities from anaerobic digester at WWTP in Randers, Denmark - SA-RHK-531 (*) (MER-FS) (assembled)",1,1308,435,Ga0246689_004055,,Ga0246689_004055,5264,0.55,50,"COG4058===Methyl coenzyme M reductase, alpha subunit===811.3",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Wastewater,Unclassified,Activated Sludge,Unclassified,Activated sludge,,,,
3300010281 assembled Ga0134090_100019853,Ga0134090_100019853,methyl-coenzyme M reductase alpha subunit,3300010281,"Switchgrass degrading microbial communities from high solid loading bioreactors in New Hampshire, USA - 1_4_20_6_A1 metaG (*) (MER-FS) (assembled)",1,1653,551,Ga0134090_1000198,,Ga0134090_1000198,58901,0.41,52,"COG4058===Methyl coenzyme M reductase, alpha subunit===1071.5",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Anaerobic,Semi-continuous,Digestate,Switchgrass degrading,,,,
3300009503 assembled Ga0123519_1000120724,Ga0123519_1000120724,methyl-coenzyme M reductase alpha subunit,3300009503,Hot spring microbial communities from Yellowstone National Park - Yellowstone National Park OP-RAMG-02 (version 2) (*) (MER-FS) (assembled),1,1659,553,Ga0123519_10001207,,Ga0123519_10001207,44399,0.45,32,"COG4058===Methyl coenzyme M reductase, alpha subunit===993.8",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Hot (42-90C),Thermal springs,Unclassified,Hot spring,,,,
3300022830 assembled Ga0224515_10000978,Ga0224515_10000978,methyl-coenzyme M reductase alpha subunit,3300022830,"Peat soil microbial communities from Stordalen Mire, Sweden - IR.F.S.T-25 (*) (MER-FS) (assembled)",1,1677,558,Ga0224515_1000097,,Ga0224515_1000097,17544,0.52,134,"COG4058===Methyl coenzyme M reductase, alpha subunit===995",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Wetlands,Soil,Peat,soil,,,,
3300018044 assembled Ga0187890_100000014,Ga0187890_100000014,methyl-coenzyme M reductase alpha subunit,3300018044,"Peatland microbial communities from SPRUCE experiment site at the Marcell Experimental Forest, Minnesota, USA - June2016WEW_21_10 (*) (MER-FS) (assembled)",1,1677,558,Ga0187890_10000001,,Ga0187890_10000001,228855,0.5,44,"COG4058===Methyl coenzyme M reductase, alpha subunit===994.2",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Wetlands,Soil,Peat,Peatland,,,,
3300018494 assembled Ga0187911_101330562,Ga0187911_101330562,methyl-coenzyme M reductase alpha subunit,3300018494,"Goat fecal pellet fungal communities from Santa Barbara, California, USA - diluted pellet 2 (*) (MER-FS) (assembled)",1,1659,552,Ga0187911_10133056,,Ga0187911_10133056,3356,0.36,9,"COG4058===Methyl coenzyme M reductase, alpha subunit===1073.9",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Host-associated,Mammals,Large intestine,Digestive system,Fecal,Goat feces,,,,
3300025092 assembled Ga0209822_10238841,Ga0209822_10238841,methyl-coenzyme M reductase alpha subunit,3300025092,"Hot spring microbial communities from Little Hot Creek, USA to study Microbial Dark Matter (Phase II) - LHC4sed_matched (SPAdes) (version 3) (*) (MER-FS) (assembled)",1,1668,555,Ga0209822_1023884,,Ga0209822_1023884,1680,0.62,191,"COG4058===Methyl coenzyme M reductase, alpha subunit===529",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Hot (42-90C),Thermal springs,Sediment,Hot spring,,,6.83,
3300024240 assembled Ga0224522_10366631,Ga0224522_10366631,methyl-coenzyme M reductase alpha subunit,3300024240,"Peat soil microbial communities from Stordalen Mire, Sweden - C.F.S.T25 (*) (MER-FS) (assembled)",1,1227,409,Ga0224522_1036663,,Ga0224522_1036663,1228,0.58,13,"COG4058===Methyl coenzyme M reductase, alpha subunit===775.1",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Wetlands,Soil,Peat,soil,,,,
3300025496 assembled Ga0208191_10000064,Ga0208191_10000064,methyl-coenzyme M reductase alpha subunit,3300025496,"Peatland microbial communities from SPRUCE experiment site at the Marcell Experimental Forest, Minnesota, USA - June2015DPH_13_40 (SPAdes) (version 2) (*) (MER-FS) (assembled)",1,1677,558,Ga0208191_1000006,,Ga0208191_1000006,228609,0.5,74,"COG4058===Methyl coenzyme M reductase, alpha subunit===994.2",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Wetlands,Soil,Peat,Peatland,,,,
3300029268 assembled Ga0247842_100576411,Ga0247842_100576411,methyl-coenzyme M reductase alpha subunit,3300029268,"Freshwater microbial communities from meromictic Lake La Cruz, Castile-La Mancha, Spain - LaCruzMarch2015_19m (*) (MER-FS) (assembled)",1,1689,562,Ga0247842_10057641,,Ga0247842_10057641,2595,0.54,39,"COG4058===Methyl coenzyme M reductase, alpha subunit===972.9",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Lake,Freshwater,Unclassified,freshwater,,,,
3300009761 assembled Ga0116168_10147232,Ga0116168_10147232,methyl-coenzyme M reductase alpha subunit,3300009761,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Canada - AD_UKC129_MetaG (*) (MER-FS) (assembled),1,1665,555,Ga0116168_1014723,,Ga0116168_1014723,2894,0.59,6,"COG4058===Methyl coenzyme M reductase, alpha subunit===1001.8",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,
3300025888 assembled Ga0209540_100141632,Ga0209540_100141632,methyl-coenzyme M reductase alpha subunit,3300025888,"Arctic peat soil microbial communities from Barrow, Alaska - Barrow Graham LP Incubations 011-21A (SPAdes) (version 2) (*) (MER-FS) (assembled)",1,1680,559,Ga0209540_10014163,,Ga0209540_10014163,4941,0.48,42,"COG4058===Methyl coenzyme M reductase, alpha subunit===949.7",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Wetlands,Soil,Peat,Arctic peat soil,,,,
3300014160 assembled Ga0181517_100722152,Ga0181517_100722152,methyl-coenzyme M reductase alpha subunit,3300014160,"Peatland microbial communities from MTU Mesocosm Facility, Houghton, MI, USA - PEATcosm2014_Bin01_30_metaG (*) (MER-FS) (assembled)",1,1491,497,Ga0181517_10072215,,Ga0181517_10072215,2060,0.49,5,"COG4058===Methyl coenzyme M reductase, alpha subunit===892.9",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Wetlands,Soil,Peat,Bog,,,,
3300021603 assembled Ga0226659_100029919,Ga0226659_100029919,methyl-coenzyme M reductase alpha subunit,3300021603,"Granular sludge microbial community from anaerobic digester, University of Toronto, Ontario, Canada - UASBVu03_granules spades (*) (MER-FS) (assembled)",1,1656,551,Ga0226659_10002991,,Ga0226659_10002991,19076,0.43,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===1106.2",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,granular sludge,,,,
3300029817 assembled Ga0247275_10000204,Ga0247275_10000204,methyl-coenzyme M reductase alpha subunit,3300029817,"Soil microbial communities from Marcell Experimental Forest, Minnesota, USA - Bog25 (*) (MER-FS) (assembled)",1,1677,558,Ga0247275_1000020,,Ga0247275_1000020,215491,0.5,46,"COG4058===Methyl coenzyme M reductase, alpha subunit===994.2",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Unclassified,Soil,Unclassified,Soil,,,,
3300009676 assembled Ga0116187_11067561,Ga0116187_11067561,methyl-coenzyme M reductase alpha subunit,3300009676,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Japan - AD_JPNNA6_MetaG (*) (MER-FS) (assembled),1,1377,459,Ga0116187_1106756,,Ga0116187_1106756,1405,0.61,153,"COG4058===Methyl coenzyme M reductase, alpha subunit===857.1",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,
3300013127 assembled Ga0172365_101277411,Ga0172365_101277411,methyl-coenzyme M reductase alpha subunit,3300013127,"Sediment microbial communities from Lake Kivu, Rwanda - Sediment site 48cm (*) (MER-FS) (assembled)",1,1575,525,Ga0172365_10127741,,Ga0172365_10127741,1602,0.62,6,"COG4058===Methyl coenzyme M reductase, alpha subunit===925.8",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Lake,Freshwater,Sediment,sediment,,,,
3300009169 assembled Ga0105097_100172865,Ga0105097_100172865,methyl-coenzyme M reductase alpha subunit,3300009169,"Freshwater sediment microbial communities from Prairie Pothole Lake near Jamestown, North Dakota, USA - PPLs Lake P7 Core (1) Depth 10-12cm May2015 (*) (MER-FS) (assembled)",1,1689,563,Ga0105097_10017286,,Ga0105097_10017286,3788,0.56,27,"COG4058===Methyl coenzyme M reductase, alpha subunit===978.7",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Lake,Freshwater,Sediment,Freshwater sediment,,,,
3300024272 assembled Ga0257077_101192084,Ga0257077_101192084,methyl-coenzyme M reductase alpha subunit,3300024272,"Goat fecal pellet fungal communities from Santa Barbara, California, USA - diluted pellet 1 Spades (v3) (version 3) (*) (MER-FS) (assembled)",1,1656,551,Ga0257077_10119208,,Ga0257077_10119208,3861,0.33,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===1070",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Host-associated,Mammals,Large intestine,Digestive system,Fecal,Goat feces,,,,
3300029252 assembled Ga0167179_10080781,Ga0167179_10080781,methyl-coenzyme M reductase alpha subunit,3300029252,Biosolids microbial communities from sewage treatment plant in Sweden - SWESTP26 - Henriksdal-digested 138 (*) (MER-FS) (assembled),1,1302,434,Ga0167179_1008078,,Ga0167179_1008078,2816,0.56,44,"COG4058===Methyl coenzyme M reductase, alpha subunit===712.5",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Wastewater,Unclassified,Industrial wastewater,Unclassified,biosolids,,,,
3300029775 assembled Ga0134843_100019075,Ga0134843_100019075,methyl-coenzyme M reductase alpha subunit,3300029775,"Liquor fermentation pit mud microbial communities from Luzhou, China - Meta-4-1-220-B (*) (MER-FS) (assembled)",1,1707,568,Ga0134843_1000190,,Ga0134843_1000190,81255,0.63,31,"COG4058===Methyl coenzyme M reductase, alpha subunit===987.3",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Unclassified,Unclassified,Unclassified,Fermentation pit mud,,,,
3300028242 assembled Ga0302102_101218932,Ga0302102_101218932,methyl-coenzyme M reductase alpha subunit,3300028242,"Goat fecal pellet enrichment culture fungal communities from Isla Vista, California, USA - Alfalfa, Gen0, Rep 2, Chloramphenicol (v3) (version 3) (*) (MER-FS) (assembled)",1,1656,551,Ga0302102_10121893,,Ga0302102_10121893,2262,0.39,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===1067.9",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Host-associated,Mammals,Large intestine,Digestive system,Fecal,Goat feces,,,,
3300021603 assembled Ga0226659_100077429,Ga0226659_100077429,methyl-coenzyme M reductase alpha subunit,3300021603,"Granular sludge microbial community from anaerobic digester, University of Toronto, Ontario, Canada - UASBVu03_granules spades (*) (MER-FS) (assembled)",1,1671,556,Ga0226659_10007742,,Ga0226659_10007742,10210,0.53,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===986.6",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,granular sludge,,,,
