Gene ID,Locus Tag,Gene Product Name,Genome ID,Genome Name,Batch1,DNA Sequence Length (bp),Amino Acid Sequence Length (aa),Scaffold ID,Scaffold External Accession,Scaffold Name,Scaffold Length (bp),Scaffold GC %,Scaffold Read Depth,COG,KO,NCBI Assembly Accession,NCBI Bioproject Accession,NCBI Biosample Accession,NCBI GenBank ID,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Specific Ecosystem,Habitat,Nitrate Concentration,Oxygen Concentration,pH,Salinity
3300051161 assembled Ga0526684_0017752_889_2577,null,methyl-coenzyme M reductase alpha subunit,3300051161,"Soil microbial communities from lacustrine wetlands, Lake Washington, Seattle, WA, USA - LW1_C2_Top (*) (MER-FS) (assembled)",2,1689,562,Ga0526684_0017752,,Ga0526684_0017752,3530,0.56,21,"COG4058===Methyl coenzyme M reductase, alpha subunit===989.2",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Aquatic,Wetlands,Freshwater,Soil,soil,,,,
3300048579 assembled Ga0498946_018141_1599_3263,null,methyl-coenzyme M reductase alpha subunit,3300048579,"Wood chips microbial communities from bioreactor in Golden, Colorado, USA - AB_Metals_4 (*) (MER-FS) (assembled)",2,1665,554,Ga0498946_018141,,Ga0498946_018141,5708,0.58,6,"COG4058===Methyl coenzyme M reductase, alpha subunit===997",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Engineered,Bioreactor,Woodchip Bioreactor (WBR),Denitrification,Unclassified,Wood chips,,,,
3300056902 assembled Ga0568906_0067400_1316_3019,null,methyl-coenzyme M reductase alpha subunit,3300056902,"Soil microbial communities from Satilla River freshwater marsh, Georgia, USA - F2L_50_52 (*) (MER-FS) (assembled)",2,1704,567,Ga0568906_0067400,,Ga0568906_0067400,3552,0.56,21,"COG4058===Methyl coenzyme M reductase, alpha subunit===984.2",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Terrestrial,Wetlands,Soil,Unclassified,Soil,,,,
3300035200 assembled Ga0376963_192831_14_1411,Ga0376963_762863,methyl-coenzyme M reductase alpha subunit,3300035200,"Sediment microbial communities from wetland pond in Xixi Nat. Park in Hangzhou, Zhejiang, China - 12 (*) (MER-FS) (assembled)",2,1398,465,Ga0376963_192831,,Ga0376963_192831,1817,0.56,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===864.7",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Aquatic,Pond,Freshwater,Sediment,sediment,,,,
3300042272 assembled Ga0451655_006360_2158_3837,null,methyl-coenzyme M reductase alpha subunit,3300042272,"MBR feed microbial communities from membrane bioreactor in Denver, Colorado, USA - FD_D185_1 (*) (MER-FS) (assembled)",2,1680,559,Ga0451655_006360,,Ga0451655_006360,8909,0.57,45,"COG4058===Methyl coenzyme M reductase, alpha subunit===956.8",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA710483,SAMN18247929,,Engineered,Wastewater,Mine water,Industrial wastewater,Produced water,MBR feed,,,,
3300038739 assembled Ga0416714_1653195_154_1479,null,methyl-coenzyme M reductase alpha subunit,3300038739,"Freshwater sediment microbial communities from the Saint-Maurice River, Canada - CA-10-3_at_4-5_cm (*) (MER-FS) (assembled)",2,1326,441,Ga0416714_1653195,,Ga0416714_1653195,1507,0.57,6,"COG4058===Methyl coenzyme M reductase, alpha subunit===804",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Aquatic,River,Freshwater,Sediment,Freshwater sediment,,,,
3300051016 assembled Ga0527615_0021739_5289_6773,null,methyl-coenzyme M reductase alpha subunit,3300051016,"Freshwater microbial communities from Lake Yojoa, Honduras - Yojoa_06_2021_B_hypo (*) (MER-FS) (assembled)",2,1485,495,Ga0527615_0021739,,Ga0527615_0021739,6774,0.46,14,"COG4058===Methyl coenzyme M reductase, alpha subunit===857.2",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Aquatic,Lake,Freshwater,Unclassified,Freshwater,,,,
3300054078 assembled nmdc:mga0ks42_216_c1_3_1418,null,methyl-coenzyme M reductase alpha subunit,3300054078,"Peatland microbial communities from SPRUCE experiment site at the Marcell Experimental Forest, Minnesota, USA - June2015DPH_13_100 re-annotation (*) (MER-FS) (assembled)",2,1416,472,nmdc:mga0ks42_216_c1,,nmdc:mga0ks42_216_c1,48764,0.5,19,"COG4058===Methyl coenzyme M reductase, alpha subunit===824",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA364973,SAMN06265149,,Environmental,Terrestrial,Wetlands,Soil,Peat,Peatland,,,,
3300032828 assembled Ga0335080_1000556213,Ga0335080_1000556213,methyl-coenzyme M reductase alpha subunit,3300032828,"Soil microbial communities from Loxahatchee National Wildlife Refuge, Florida, United States - Lox_Sample_3.4 (*) (MER-FS) (assembled)",2,1707,568,Ga0335080_10005562,,Ga0335080_10005562,12974,0.54,15,"COG4058===Methyl coenzyme M reductase, alpha subunit===985.3",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA531764,SAMN11382430,,Environmental,Terrestrial,Wetlands,Soil,Unclassified,soil,,,,
3300033173 assembled Ga0334889_100069013,Ga0334889_100069013,methyl-coenzyme M reductase alpha subunit,3300033173,"Sludge microbial communities from methane-producing bioreactor in Wageningen University, Netherlands - Granular Sludge_8_08-R1 (*) (MER-FS) (assembled)",2,1680,559,Ga0334889_1000690,,Ga0334889_1000690,50042,0.59,706,"COG4058===Methyl coenzyme M reductase, alpha subunit===933.5",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA567725,SAMN12795552,,Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,sludge,,,,
3300051217 assembled Ga0495690_00234_10076_11743,null,methyl-coenzyme M reductase alpha subunit,3300051217,"Peat soil microbial communities from Stordalen Mire, Sweden - G.F.S.T50 (v3) (version 3) (*) (MER-FS) (assembled)",2,1668,555,Ga0495690_00234,,Ga0495690_00234,11743,0.48,134,"COG4058===Methyl coenzyme M reductase, alpha subunit===993.6",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA469114,SAMN09094028,,Environmental,Terrestrial,Wetlands,Soil,Peat,soil,,,,
3300048049 assembled Ga0497342_011144_5_1210,null,methyl-coenzyme M reductase alpha subunit,3300048049,"Peatland microbial communities from Stordalen Mire, Sweden - N.F.S.T0 (version 2) (*) (MER-FS) (assembled)",2,1206,401,Ga0497342_011144,,Ga0497342_011144,1984,0.44,15,"COG4058===Methyl coenzyme M reductase, alpha subunit===774.8",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA1148545,SAMN43207084,,Environmental,Terrestrial,Peat,Soil,Mire,soil,,,,
3300056973 assembled Ga0568895_0004021_5086_6804,null,methyl-coenzyme M reductase alpha subunit,3300056973,"Soil microbial communities from Satilla River freshwater marsh, Georgia, USA - F1L_40_42 (*) (MER-FS) (assembled)",2,1719,572,Ga0568895_0004021,,Ga0568895_0004021,16852,0.46,18,"COG4058===Methyl coenzyme M reductase, alpha subunit===1043.5",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Terrestrial,Wetlands,Soil,Unclassified,Soil,,,,
3300033817 assembled Ga0373875_000001_832208_833863,Ga0373875_841,methyl-coenzyme M reductase alpha subunit,3300033817,"Laboratory-enriched microbial communities from a contaminated site in Ontario, Canada - KB1_TCB MSP (*) (MER-FS) (assembled)",2,1656,551,Ga0373875_000001,,Ga0373875_000001,1069073,0.39,93,"COG4058===Methyl coenzyme M reductase, alpha subunit===1071.7",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Engineered,Bioremediation,Unclassified,Persistent organic pollutants (POP),Unclassified,anaerobic enrichment culture,,,,
3300038425 assembled Ga0427939_0000010_657306_658997,null,methyl-coenzyme M reductase alpha subunit,3300038425,"Peat soil microbial communities from Marcell Experimental Forest, MN, USA - P19_D10 (*) (MER-FS) (assembled)",2,1692,563,Ga0427939_0000010,,Ga0427939_0000010,783107,0.59,41,"COG4058===Methyl coenzyme M reductase, alpha subunit===962.3",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA651494,SAMN15721480,,Environmental,Terrestrial,Wetlands,Soil,Peat,peat soil,,,,
3300033162 assembled Ga0334901_10010349,Ga0334901_10010349,methyl-coenzyme M reductase alpha subunit,3300033162,"Sludge microbial communities from methane-producing bioreactor in Wageningen University, Netherlands - Granular Sludge_15_08-R3 (*) (MER-FS) (assembled)",2,1653,550,Ga0334901_1001034,,Ga0334901_1001034,32015,0.39,257,"COG4058===Methyl coenzyme M reductase, alpha subunit===1111.5",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA567662,SAMN12794823,,Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,sludge,,,,
3300033171 assembled Ga0334895_10080664,Ga0334895_10080664,methyl-coenzyme M reductase alpha subunit,3300033171,"Sludge microbial communities from methane-producing bioreactor in Wageningen University, Netherlands - Granular Sludge_31_05-R3 (*) (MER-FS) (assembled)",2,1680,559,Ga0334895_1008066,,Ga0334895_1008066,6211,0.57,193,"COG4058===Methyl coenzyme M reductase, alpha subunit===939",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA567731,SAMN12794861,,Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,sludge,,,,
3300056685 assembled Ga0557737_000019_81607_83283,null,methyl-coenzyme M reductase alpha subunit,3300056685,"Glacial till microbial communities from Anvers Island, Antarctica - 18O.3W.11 SIP fraction (*) (MER-FS) (assembled)",2,1677,558,Ga0557737_000019,,Ga0557737_000019,120156,0.46,38,"COG4058===Methyl coenzyme M reductase, alpha subunit===988.6",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Terrestrial,Glacial till,Soil,Unclassified,Glacial till,,,,
3300050032 assembled Ga0495410_002940_15661_17337,null,methyl-coenzyme M reductase alpha subunit,3300050032,"Peat soil microbial communities from Stordalen Mire, Sweden - 719 S3 30-34 (*) (MER-FS) (assembled)",2,1677,558,Ga0495410_002940,,Ga0495410_002940,18735,0.53,195,"COG4058===Methyl coenzyme M reductase, alpha subunit===994.7",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Terrestrial,Peat,Soil,Mire,Peat soil,,,,
3300050009 assembled Ga0395634_0027456_758_2437,null,methyl-coenzyme M reductase alpha subunit,3300050009,"Peatland microbial communities from Stordalen Mire, Sweden - 716 E3 20-24 (*) (MER-FS) (assembled)",2,1680,559,Ga0395634_0027456,,Ga0395634_0027456,2668,0.53,14,"COG4058===Methyl coenzyme M reductase, alpha subunit===945.1",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA1148548,SAMN43207356,,Environmental,Terrestrial,Peat,Soil,Mire,soil,,,,
3300031772 assembled Ga0315288_100557872,Ga0315288_100557872,methyl-coenzyme M reductase alpha subunit,3300031772,"Sediment microbial communities from Yellowstone Lake, YNP, Wyoming, USA - YL17G11_20 (*) (MER-FS) (assembled)",2,1692,563,Ga0315288_10055787,,Ga0315288_10055787,4679,0.64,45,"COG4058===Methyl coenzyme M reductase, alpha subunit===962.6",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA539330,SAMN11532494,,Environmental,Aquatic,Lake,Freshwater,Sediment,sediment,,,,
3300035378 assembled Ga0393875_12483_22_1398,Ga0393875_44013,methyl-coenzyme M reductase alpha subunit,3300035378,"Wastewater microbial community from oil sands tailing pond near Ft. McMurray, Canada -18E_3b_20_7 mgh (*) (MER-FS) (assembled)",2,1377,458,Ga0393875_12483,,Ga0393875_12483,1538,0.58,7,"COG4058===Methyl coenzyme M reductase, alpha subunit===849.3",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Engineered,Wastewater,Petrochemical,Industrial wastewater,Unclassified,wastewater,,,,
3300036908 assembled Ga0334869_036399_559_2274,null,methyl-coenzyme M reductase alpha subunit,3300036908,"Peat soil microbial communities from Stordalen Mire, Sweden - 715 S3 20-24 (*) (MER-FS) (assembled)",2,1716,571,Ga0334869_036399,,Ga0334869_036399,2428,0.47,6,"COG4058===Methyl coenzyme M reductase, alpha subunit===1041.4",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA621613,SAMN14515081,,Environmental,Terrestrial,Wetlands,Soil,Peat,soil,,,,
3300033166 assembled Ga0334900_100048913,Ga0334900_100048913,methyl-coenzyme M reductase alpha subunit,3300033166,"Sludge microbial communities from methane-producing bioreactor in Wageningen University, Netherlands - Granular Sludge_31_08-R3 (*) (MER-FS) (assembled)",2,1680,559,Ga0334900_1000489,,Ga0334900_1000489,57423,0.6,434,"COG4058===Methyl coenzyme M reductase, alpha subunit===933.5",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA567735,SAMN12796119,,Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,sludge,,,,
3300040942 assembled Ga0439233_0001532_23844_25511,null,methyl-coenzyme M reductase alpha subunit,3300040942,"Peat soil microbial communities from Marcell Experimental Forest, MN, USA - P11_D8 (v2) (version 2) (*) (MER-FS) (assembled)",2,1668,555,Ga0439233_0001532,,Ga0439233_0001532,28402,0.52,21,"COG4058===Methyl coenzyme M reductase, alpha subunit===967",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA677016,SAMN16772961,,Environmental,Terrestrial,Wetlands,Soil,Peat,peat soil,,,,
3300057308 assembled Ga0583561_0007164_689_2377,null,methyl-coenzyme M reductase alpha subunit,3300057308,"Sediment microbial communities from the Atlantic Maritime Ecozone, Canada - bottom sediment 07-025 metaSPAdes (*) (MER-FS) (assembled)",2,1689,562,Ga0583561_0007164,,Ga0583561_0007164,2926,0.58,5,"COG4058===Methyl coenzyme M reductase, alpha subunit===962.5",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Aquatic,Lake,Freshwater,Sediment,Sediment,,,,
3300057053 assembled Ga0568900_0069182_2497_4128,null,methyl-coenzyme M reductase alpha subunit,3300057053,"Soil microbial communities from Satilla River mesohaline marsh, Georgia, USA - M2P_50_52 (*) (MER-FS) (assembled)",2,1632,544,Ga0568900_0069182,,Ga0568900_0069182,4129,0.51,31,"COG4058===Methyl coenzyme M reductase, alpha subunit===724.1",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Terrestrial,Wetlands,Soil,Unclassified,Soil,,,,
3300054071 assembled nmdc:mga0gt36_5_c1_223240_224916,null,methyl-coenzyme M reductase alpha subunit,3300054071,"Peatland microbial communities from SPRUCE experiment site at the Marcell Experimental Forest, Minnesota, USA - June2015DPH_8_40 re-annotation (*) (MER-FS) (assembled)",2,1677,558,nmdc:mga0gt36_5_c1,,nmdc:mga0gt36_5_c1,228609,0.5,49,"COG4058===Methyl coenzyme M reductase, alpha subunit===994.2",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA364960,SAMN06264896,,Environmental,Terrestrial,Wetlands,Soil,Peat,Peatland,,,,
3300034686 assembled Ga0334891_010163_1_1545,Ga0334891_160192,methyl-coenzyme M reductase alpha subunit,3300034686,"Sludge microbial communities from methane-producing bioreactor in Wageningen University, Netherlands - Granular Sludge_15_08-R1 (*) (MER-FS) (assembled)",2,1545,515,Ga0334891_010163,,Ga0334891_010163,5298,0.35,13,"COG4058===Methyl coenzyme M reductase, alpha subunit===1047.6",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA567727,SAMN12794862,,Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,sludge,,,,
3300037214 assembled Ga0395680_0030097_61_1713,null,methyl-coenzyme M reductase alpha subunit,3300037214,"Peatland microbial communities from Stordalen Mire, Sweden - 711 E-3-S (*) (MER-FS) (assembled)",2,1653,550,Ga0395680_0030097,,Ga0395680_0030097,1758,0.44,10,"COG4058===Methyl coenzyme M reductase, alpha subunit===1051.7",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA618306,SAMN14506212,,Environmental,Terrestrial,Wetlands,Soil,Peat,soil,,,,
3300048655 assembled Ga0504914_0039861_520_2211,null,methyl-coenzyme M reductase alpha subunit,3300048655,"Euxinic sediment microbial communities from Lake Cadagno, Ticino, Switzerland -S0L_1_270 (*) (MER-FS) (assembled)",2,1692,563,Ga0504914_0039861,,Ga0504914_0039861,2236,0.63,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===961.6",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Aquatic,Lake,Freshwater,Sediment,Euxinic Sediment,,,,
3300036949 assembled Ga0377206_000011_20171_21874,null,methyl-coenzyme M reductase alpha subunit,3300036949,"Wastewater microbial communities from Lulu Island WWTP, Vancouver, Canada - AD1 32 III (*) (MER-FS) (assembled)",2,1704,567,Ga0377206_000011,,Ga0377206_000011,234596,0.6,26,"COG4058===Methyl coenzyme M reductase, alpha subunit===984.7",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA620756,SAMN14511128,,Engineered,WWTP,Unclassified,Wastewater,Unclassified,wastewater,,,,
3300049722 assembled Ga0495417_0020942_2_1330,null,methyl-coenzyme M reductase alpha subunit,3300049722,"Peat soil microbial communities from Stordalen Mire, Sweden - 719 E2 20-24 (*) (MER-FS) (assembled)",2,1329,443,Ga0495417_0020942,,Ga0495417_0020942,2310,0.56,10,"COG4058===Methyl coenzyme M reductase, alpha subunit===759.5",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Terrestrial,Peat,Soil,Mire,Peat soil,,,,
3300031873 assembled Ga0315297_100524792,Ga0315297_100524792,methyl-coenzyme M reductase alpha subunit,3300031873,"Sediment microbial communities from Yellowstone Lake, YNP, Wyoming, USA - YL17G15_0 (*) (MER-FS) (assembled)",2,1689,562,Ga0315297_10052479,,Ga0315297_10052479,3095,0.59,37,"COG4058===Methyl coenzyme M reductase, alpha subunit===985.4",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA539339,SAMN11532772,,Environmental,Aquatic,Lake,Freshwater,Sediment,sediment,,,,
3300036947 assembled Ga0377204_000484_8392_10053,null,methyl-coenzyme M reductase alpha subunit,3300036947,"Wastewater microbial communities from Lulu Island WWTP, Vancouver, Canada - AD1 52 III (*) (MER-FS) (assembled)",2,1662,553,Ga0377204_000484,,Ga0377204_000484,51191,0.33,40,"COG4058===Methyl coenzyme M reductase, alpha subunit===940.6",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA620754,SAMN14511158,,Engineered,WWTP,Unclassified,Wastewater,Unclassified,wastewater,,,,
3300051162 assembled Ga0526685_0020748_3708_5372,null,methyl-coenzyme M reductase alpha subunit,3300051162,"Soil microbial communities from lacustrine wetlands, Lake Washington, Seattle, WA, USA - LW1_C2_Mid (*) (MER-FS) (assembled)",2,1665,554,Ga0526685_0020748,,Ga0526685_0020748,5424,0.59,13,"COG4058===Methyl coenzyme M reductase, alpha subunit===994.4",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Aquatic,Wetlands,Freshwater,Soil,soil,,,,
3300035039 assembled Ga0376513_033221_21_1247,Ga0376513_179919,methyl-coenzyme M reductase alpha subunit,3300035039,"Oil reservoir microbial communities from oil well in Texas, United States - B3.7_Sample3.Rodeo7.Well667 (*) (MER-FS) (assembled)",2,1227,408,Ga0376513_033221,,Ga0376513_033221,1471,0.51,216,"COG4058===Methyl coenzyme M reductase, alpha subunit===774.2",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA620749,SAMN14510903,,Environmental,Terrestrial,Oil well,Deep subsurface,Unclassified,oil reservoir,,,,
3300040733 assembled Ga0439193_000010_335812_337518,null,methyl-coenzyme M reductase alpha subunit,3300040733,"Lab-enriched soil microbial communities from a contaminated agricultural site, Guadeloupe, France - AlphaHCH MSP (*) (MER-FS) (assembled)",2,1707,568,Ga0439193_000010,,Ga0439193_000010,602470,0.53,168,"COG4058===Methyl coenzyme M reductase, alpha subunit===971.5",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Terrestrial,Unclassified,Soil,Contaminated,soil,,,,
3300041959 assembled Ga0456189_002329_3452_5110,null,methyl-coenzyme M reductase alpha subunit,3300041959,"Diffuse hydrothermal flow volcanic vent microbial communities from Axial Seamount, northeast Pacific ocean - Sample FS906_Marker113_DNA SE_2020 (*) (MER-FS) (assembled)",2,1659,552,Ga0456189_002329,,Ga0456189_002329,5807,0.36,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===1144",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Aquatic,Hydrothermal vents,Marine,Diffuse flow,Diffuse hydrothermal flow volcanic vent,,,,
3300048574 assembled Ga0498941_006492_15998_17710,null,methyl-coenzyme M reductase alpha subunit,3300048574,"Wood chips microbial communities from bioreactor in Golden, Colorado, USA - AB_TrOCs_3 (*) (MER-FS) (assembled)",2,1713,570,Ga0498941_006492,,Ga0498941_006492,19266,0.42,11,"COG4058===Methyl coenzyme M reductase, alpha subunit===1057",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Engineered,Bioreactor,Woodchip Bioreactor (WBR),Denitrification,Unclassified,Wood chips,,,,
3300041566 assembled Ga0451917_0607553_121_1788,null,methyl-coenzyme M reductase alpha subunit,3300041566,"Fecal microbial community from a dairy cow Lincoln, Canterbury, New Zealand - F17_45 MetaG (*) (MER-FS) (assembled)",2,1668,555,Ga0451917_0607553,,Ga0451917_0607553,2042,0.38,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===1039.7",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Host-associated,Mammals,Large intestine,Digestive system,Fecal,Bovine feces,,,,
3300036947 assembled Ga0377204_042170_486_2072,null,methyl-coenzyme M reductase alpha subunit,3300036947,"Wastewater microbial communities from Lulu Island WWTP, Vancouver, Canada - AD1 52 III (*) (MER-FS) (assembled)",2,1587,528,Ga0377204_042170,,Ga0377204_042170,2074,0.62,10,"COG4058===Methyl coenzyme M reductase, alpha subunit===931.7",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA620754,SAMN14511158,,Engineered,WWTP,Unclassified,Wastewater,Unclassified,wastewater,,,,
3300038395 assembled Ga0415639_016279_35_1537,null,methyl-coenzyme M reductase alpha subunit,3300038395,Termite gut microbial communities from Labiotermes sp. nest - French Guiana - 19_62_13_hindgut (*) (MER-FS) (assembled),2,1503,500,Ga0415639_016279,,Ga0415639_016279,4306,0.54,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===713.3",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Host-associated,Arthropoda: Insects,Hindgut,Digestive system,Unclassified,termite gut,,,,
3300051041 assembled Ga0527651_012171_1_1281,null,methyl-coenzyme M reductase alpha subunit,3300051041,"Switchgrass digestate microbial communities from anaerobic digester in Pennsylvania State University, State Park, PA, USA - 3.T.7_3.1 (*) (MER-FS) (assembled)",2,1281,427,Ga0527651_012171,,Ga0527651_012171,3059,0.45,7,"COG4058===Methyl coenzyme M reductase, alpha subunit===843.3",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Switchgrass digestate,,,,
3300035038 assembled Ga0376512_05526_835_2565,Ga0376512_56260,methyl-coenzyme M reductase alpha subunit,3300035038,"Oil reservoir microbial communities from oil well in Texas, United States - B3.6_Sample3.Rodeo6.Well667 (*) (MER-FS) (assembled)",2,1731,576,Ga0376512_05526,,Ga0376512_05526,2714,0.48,71,"COG4058===Methyl coenzyme M reductase, alpha subunit===1000",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA620748,SAMN14510886,,Environmental,Terrestrial,Oil well,Deep subsurface,Unclassified,oil reservoir,,,,
3300037105 assembled Ga0395709_0033351_1403_2644,null,methyl-coenzyme M reductase alpha subunit,3300037105,"Peatland microbial communities from Stordalen Mire, Sweden - 712 E-2-D (*) (MER-FS) (assembled)",2,1242,413,Ga0395709_0033351,,Ga0395709_0033351,2657,0.53,9,"COG4058===Methyl coenzyme M reductase, alpha subunit===774.5",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA654177,SAMN15739867,,Environmental,Terrestrial,Wetlands,Soil,Peat,soil,,,,
3300052312 assembled Ga0528629_054649_7_1308,null,methyl-coenzyme M reductase alpha subunit,3300052312,"Switchgrass digestate microbial communities from anaerobic digester in Pennsylvania State University, State Park, PA, USA - 5.M.5_7.2 (*) (MER-FS) (assembled)",2,1302,433,Ga0528629_054649,,Ga0528629_054649,1308,0.44,7,"COG4058===Methyl coenzyme M reductase, alpha subunit===889",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Switchgrass digestate,,,,
3300041731 assembled Ga0452011_0227373_1_1452,null,methyl-coenzyme M reductase alpha subunit,3300041731,"Rumen microbial community from a dairy cow Lincoln, Canterbury, New Zealand - R17_283 MetaG (*) (MER-FS) (assembled)",2,1452,484,Ga0452011_0227373,,Ga0452011_0227373,4262,0.34,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===934.3",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Host-associated,Mammals,Stomach,Digestive system,Rumen,Bovine rumen,,,,
3300035528 assembled Ga0376490_009510_3_1562,Ga0376490_67323,methyl-coenzyme M reductase alpha subunit,3300035528,"Oil reservoir microbial communities from oil well in Texas, United States - B1.4_Sample1.Rodeo4.Well665 (*) (MER-FS) (assembled)",2,1560,520,Ga0376490_009510,,Ga0376490_009510,2031,0.42,40,"COG4058===Methyl coenzyme M reductase, alpha subunit===1032.3",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA620726,SAMN14511047,,Environmental,Terrestrial,Oil well,Deep subsurface,Unclassified,oil reservoir,,,,
